,School_Name,STREET,POSTCODE,School_Group,LNG,LAT,LOCALITY,TOWN,SCHSTATUS,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,OFSTEDRATING
146,Kings Heath Boys,hollybank road,B13 0RJ,Secondary,-1.880371929,52.4233997,Kings Heath,Birmingham,Open,Community school,0,1,0,11,16,Boys,Good
147,Kings Heath Primary School,valentine road,B14 7AJ,Primary,-1.889763761,52.43713662,Kings Heath,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
148,Kings Norton Girls' School,selly oak road,B30 1HW,Secondary,-1.935265202,52.42077999,Kings Norton,Birmingham,Open,Academy converter,0,1,1,11,18,Girls,Outstanding
149,Kings Norton Junior and Infant School,pershore road south,B30 3EU,Primary,-1.927582926,52.40814589,Kings Norton,Birmingham,"Open, but proposed to close",Community school,1,0,0,5,11,Mixed,Special Measures
150,Kings Rise Academy,hornsey road,B44 0JL,Primary,-1.87556183,52.54950585,Kingstanding,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Requires improvement
151,Kingsland Primary School (NC),kingsland road,B44 9PU,Primary,-1.887678279,52.55759084,,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
152,Kingsthorne Primary School,cranbourne road,B44 0BX,Primary,-1.882447912,52.54428972,Kingstanding,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
153,Ladypool Primary School,stratford road,B11 1QT,Primary,-1.87423552,52.46116948,Sparkbrook,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
154,Lakey Lane Junior and Infant School,lakey lane,B28 8RY,Primary,-1.830916518,52.43153838,Hall Green,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
155,Langley School,trinity road,B75 6TJ,Special,-1.825511124,52.58009953,,Sutton Coldfield,Open,Foundation special school,1,0,0,3,11,Mixed,Good
156,Lea Forest Primary Academy,hurstcroft road,B33 9RD,Primary,-1.786175485,52.48314966,Kitts Green,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
157,Leigh Primary School,leigh road,B8 2YH,Primary,-1.84724953,52.49761905,Washwood Heath,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
158,Lindsworth School,monyhull hall road,B30 3QA,Special,-1.905883803,52.41032424,Kings Norton,Birmingham,Open,Community special school,1,1,0,9,16,Mixed,Good
159,Little Sutton Primary School,worcester lane,B75 5NL,Primary,-1.812050892,52.59304089,,Sutton Coldfield,Open,Foundation school,1,0,0,4,11,Mixed,Outstanding
160,Longwill A Primary School for Deaf Children,bell hill,B31 1LD,Special,-1.971208926,52.41917726,Northfield,Birmingham,Open,Foundation special school,1,0,0,2,12,Mixed,Good
