,School_Name,STREET,POSTCODE,LNG,LAT,LOCALITY,GENDER,OFSTEDRATING,price_paid,postcode,property_type,new_build,estate_type,street
153,Broadmeadow Infant School,monyhull hall road,B30 3QJ,-1.914413515,52.40865849,Kings Norton,Mixed,Good,133000,B30 3QL,F,N,L,monyhull hall road
154,Broadmeadow Infant School,monyhull hall road,B30 3QJ,-1.914413515,52.40865849,Kings Norton,Mixed,Good,140000,B30 3QW,T,N,F,monyhull hall road
155,Broadmeadow Junior School,monyhull hall road,B30 3QJ,-1.915134214,52.40846128,Kings Norton,Mixed,Good,142000,B30 3QD,F,N,L,monyhull hall road
156,Broadmeadow Junior School,monyhull hall road,B30 3QJ,-1.915134214,52.40846128,Kings Norton,Mixed,Good,112500,B30 3QD,F,N,L,monyhull hall road
157,Broadmeadow Junior School,monyhull hall road,B30 3QJ,-1.915134214,52.40846128,Kings Norton,Mixed,Good,112500,B30 3QD,F,N,L,monyhull hall road
158,Broadmeadow Junior School,monyhull hall road,B30 3QJ,-1.915134214,52.40846128,Kings Norton,Mixed,Good,187000,B30 3QJ,F,N,L,monyhull hall road
159,Broadmeadow Junior School,monyhull hall road,B30 3QJ,-1.915134214,52.40846128,Kings Norton,Mixed,Good,98500,B30 3QJ,F,N,L,monyhull hall road
160,Broadmeadow Junior School,monyhull hall road,B30 3QJ,-1.915134214,52.40846128,Kings Norton,Mixed,Good,94000,B30 3QJ,F,N,L,monyhull hall road
161,Broadmeadow Junior School,monyhull hall road,B30 3QJ,-1.915134214,52.40846128,Kings Norton,Mixed,Good,105000,B30 3QJ,F,N,L,monyhull hall road
162,Broadmeadow Junior School,monyhull hall road,B30 3QJ,-1.915134214,52.40846128,Kings Norton,Mixed,Good,133000,B30 3QL,F,N,L,monyhull hall road
163,Broadmeadow Junior School,monyhull hall road,B30 3QJ,-1.915134214,52.40846128,Kings Norton,Mixed,Good,140000,B30 3QW,T,N,F,monyhull hall road
164,Lindsworth School,monyhull hall road,B30 3QA,-1.905883803,52.41032424,Kings Norton,Mixed,Good,142000,B30 3QD,F,N,L,monyhull hall road
165,Lindsworth School,monyhull hall road,B30 3QA,-1.905883803,52.41032424,Kings Norton,Mixed,Good,112500,B30 3QD,F,N,L,monyhull hall road
166,Lindsworth School,monyhull hall road,B30 3QA,-1.905883803,52.41032424,Kings Norton,Mixed,Good,112500,B30 3QD,F,N,L,monyhull hall road
167,Lindsworth School,monyhull hall road,B30 3QA,-1.905883803,52.41032424,Kings Norton,Mixed,Good,187000,B30 3QJ,F,N,L,monyhull hall road
168,Lindsworth School,monyhull hall road,B30 3QA,-1.905883803,52.41032424,Kings Norton,Mixed,Good,98500,B30 3QJ,F,N,L,monyhull hall road
169,Lindsworth School,monyhull hall road,B30 3QA,-1.905883803,52.41032424,Kings Norton,Mixed,Good,94000,B30 3QJ,F,N,L,monyhull hall road
170,Lindsworth School,monyhull hall road,B30 3QA,-1.905883803,52.41032424,Kings Norton,Mixed,Good,105000,B30 3QJ,F,N,L,monyhull hall road
171,Lindsworth School,monyhull hall road,B30 3QA,-1.905883803,52.41032424,Kings Norton,Mixed,Good,133000,B30 3QL,F,N,L,monyhull hall road
172,Lindsworth School,monyhull hall road,B30 3QA,-1.905883803,52.41032424,Kings Norton,Mixed,Good,140000,B30 3QW,T,N,F,monyhull hall road
173,Broadway Academy,the broadway,B20 3DP,-1.8955865280000002,52.51303523,Perry Barr,Mixed,Good,90000,B20 3ED,T,N,F,the broadway
174,Brookvale Primary School,mallard drive,B23 7YB,-1.8712205219999998,52.52108416,Erdington,Mixed,Good,170000,B23 7YB,O,N,F,mallard drive
175,Calshot Primary School,calshot road,B42 2BY,-1.917487051,52.5424044,Great Barr,Mixed,Good,166000,B42 2BS,S,N,F,calshot road
176,Calshot Primary School,calshot road,B42 2BY,-1.917487051,52.5424044,Great Barr,Mixed,Good,225000,B42 2BT,S,N,L,calshot road
177,Calshot Primary School,calshot road,B42 2BY,-1.917487051,52.5424044,Great Barr,Mixed,Good,190000,B42 2BT,S,N,F,calshot road
178,Calshot Primary School,calshot road,B42 2BY,-1.917487051,52.5424044,Great Barr,Mixed,Good,165000,B42 2BY,T,N,F,calshot road
179,Calshot Primary School,calshot road,B42 2BY,-1.917487051,52.5424044,Great Barr,Mixed,Good,195000,B42 2BZ,S,N,F,calshot road
180,Chad Vale Primary School,nursery road,B15 3JU,-1.945466009,52.46421719,Edgbaston,Mixed,Good,217516,B15 3JX,T,N,F,nursery road
181,Chad Vale Primary School,nursery road,B15 3JU,-1.945466009,52.46421719,Edgbaston,Mixed,Good,290000,B15 3JX,T,N,F,nursery road
182,St Francis Catholic Primary School,nursery road,B19 1PH,-1.914226566,52.49775827,Handsworth,Mixed,Good,217516,B15 3JX,T,N,F,nursery road
183,St Francis Catholic Primary School,nursery road,B19 1PH,-1.914226566,52.49775827,Handsworth,Mixed,Good,290000,B15 3JX,T,N,F,nursery road
184,Cherry Orchard Primary School,cherry orchard road,B20 2LB,-1.9210950519999999,52.52016587,Handsworth Wood,Mixed,Good,275000,B20 2LA,T,N,F,cherry orchard road
185,Cherry Orchard Primary School,cherry orchard road,B20 2LB,-1.9210950519999999,52.52016587,Handsworth Wood,Mixed,Good,305000,B20 2LB,T,N,F,cherry orchard road
186,Cherry Orchard Primary School,cherry orchard road,B20 2LB,-1.9210950519999999,52.52016587,Handsworth Wood,Mixed,Good,270000,B20 2NG,S,N,F,cherry orchard road
187,Chilcote Primary School,chilcote close,B28 0PB,-1.843677482,52.41644364,,Mixed,Outstanding,285000,B28 0PB,T,N,F,chilcote close
188,Chilcote Primary School,chilcote close,B28 0PB,-1.843677482,52.41644364,,Mixed,Outstanding,220000,B28 0PB,T,N,F,chilcote close
189,Chilcote Primary School,chilcote close,B28 0PB,-1.843677482,52.41644364,,Mixed,Outstanding,240000,B28 0PB,T,N,F,chilcote close
190,Chivenor Primary School,farnborough road,B35 7JA,-1.7914267019999999,52.51551382,Castle Vale,Mixed,Good,140000,B35 7NG,T,N,F,farnborough road
191,Chivenor Primary School,farnborough road,B35 7JA,-1.7914267019999999,52.51551382,Castle Vale,Mixed,Good,160000,B35 7NL,S,N,F,farnborough road
192,Greenwood Academy,farnborough road,B35 7NL,-1.782252636,52.52017209,,Mixed,Good,140000,B35 7NG,T,N,F,farnborough road
193,Greenwood Academy,farnborough road,B35 7NL,-1.782252636,52.52017209,,Mixed,Good,160000,B35 7NL,S,N,F,farnborough road
194,Christ The King Catholic Primary School,warren farm road,B44 0QN,-1.87674419,52.54328608,Kingstanding,Mixed,Outstanding,175000,B44 0PZ,T,N,F,warren farm road
